,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
268,40.0%,0.1,rf,0.2547628672638225,0.4019885483519956
269,40.0%,0.1,svc,0.01688874649696867,0.3433065360203126
270,40.0%,0.15,cnn,0.2870872642047032,0.46434350681978287
271,40.0%,0.15,dt,0.1786208565100563,0.3224311586345912
272,40.0%,0.15,lr,0.27910602141579677,0.2970940760538947
273,40.0%,0.15,rf,0.3219869588177908,0.419525844723004
274,40.0%,0.15,svc,0.06203348884582135,0.32663717487566074
275,40.0%,0.2,cnn,0.4243558923844226,0.3387179080556406
276,40.0%,0.2,dt,0.22335632817988058,0.25115626807282065
277,40.0%,0.2,lr,0.3445348868932677,0.28779391885464084
278,40.0%,0.2,rf,0.41175605820463673,0.43704024261886315
279,40.0%,0.2,svc,0.2371184110697681,0.2692533509722798
280,40.0%,0.25,cnn,0.5006262493349587,0.33489200801556995
281,40.0%,0.25,dt,0.30074667775984615,0.28911671311613196
282,40.0%,0.25,lr,0.4222792108727324,0.32476923497041205
283,40.0%,0.25,rf,0.48282233517744516,0.40463262734154937
284,40.0%,0.25,svc,0.3187782128213529,0.2723118264944939
285,40.0%,0.3,cnn,0.5494104079851004,0.2861237729511529
286,40.0%,0.3,dt,0.39536204106230066,0.29123091775890114
287,40.0%,0.3,lr,0.4804708549196091,0.32226031593330645
288,40.0%,0.3,rf,0.5718068299261596,0.3766822554354905
289,40.0%,0.3,svc,0.4157223789364147,0.2923081735545749
290,40.0%,0.35,cnn,0.6138393590521573,0.2304259552772809
291,40.0%,0.35,dt,0.459629435117696,0.26198237281787834
292,40.0%,0.35,lr,0.5600741584408798,0.2924097638133192
293,40.0%,0.35,rf,0.6542583582259435,0.3137818975312672
294,40.0%,0.35,svc,0.5165892265438001,0.31605800086946106
295,40.0%,0.4,cnn,0.682003223748832,0.2106439872285455
296,40.0%,0.4,dt,0.5193268700596023,0.26771662163102794
297,40.0%,0.4,lr,0.627340674054682,0.26498815622473954
298,40.0%,0.4,rf,0.7221383363695388,0.2580414298827647
299,40.0%,0.4,svc,0.6539725222094488,0.2957199397415618
300,40.0%,0.45,cnn,0.7088196632068701,0.15944949545392875
301,40.0%,0.45,dt,0.5465624456767757,0.18506740374186273
302,40.0%,0.45,lr,0.682612075508892,0.20755149637516032
303,40.0%,0.45,rf,0.7665074618952867,0.18729259222000313
304,40.0%,0.45,svc,0.7233352834990023,0.25009051846302477
305,40.0%,0.5,cnn,0.7378820721128742,0.12939044936523597
306,40.0%,0.5,dt,0.6672072556485148,0.18591645979086355
307,40.0%,0.5,lr,0.7319449441141426,0.1611046997047476
308,40.0%,0.5,rf,0.7976959023447227,0.14680906301599841
309,40.0%,0.5,svc,0.7795221622418276,0.19504248532142038
310,40.0%,0.55,cnn,0.7327160683137839,0.1307821022495423
311,40.0%,0.55,dt,0.6849298242849062,0.1716873937764392
312,40.0%,0.55,lr,0.7455327757113489,0.13531368250560866
313,40.0%,0.55,rf,0.7911532600011959,0.1333421936926397
314,40.0%,0.55,svc,0.7966997556089648,0.16867580063744647
315,40.0%,0.6,cnn,0.7242257892379669,0.12377597349074979
316,40.0%,0.6,dt,0.6762043603021122,0.18052343369063256
317,40.0%,0.6,lr,0.7317941296874393,0.12500355993022302
318,40.0%,0.6,rf,0.7728047997646526,0.13175942804437066
319,40.0%,0.6,svc,0.7828535892324557,0.1572079668690699
320,40.0%,0.65,cnn,0.691600877637874,0.11257858628911
321,40.0%,0.65,dt,0.6714187233321932,0.1735333652907262
322,40.0%,0.65,lr,0.7056025325555548,0.10537549165431534
323,40.0%,0.65,rf,0.7438861601540807,0.12417746059112567
324,40.0%,0.65,svc,0.7554449218761632,0.13934288479877577
325,50.0%,0.05,cnn,0.21081677209733593,0.6010879183278298
326,50.0%,0.05,dt,0.24807909244434176,0.2634142349909901
327,50.0%,0.05,lr,0.12154821254503909,0.4790753348085603
328,50.0%,0.05,rf,0.1872753132152753,0.35618816581125223
329,50.0%,0.05,svc,-0.050293866231195736,0.4048954050415289
330,50.0%,0.1,cnn,0.3003127885331602,0.4434546567118406
331,50.0%,0.1,dt,0.19467108290262441,0.2807165359694423
332,50.0%,0.1,lr,0.27882759872575347,0.2785073634796867
333,50.0%,0.1,rf,0.24587466532209257,0.40576061246216183
334,50.0%,0.1,svc,0.03427017360748717,0.3685715284532595
335,50.0%,0.15,cnn,0.35949104652467473,0.4681340545311112
336,50.0%,0.15,dt,0.26811812672747243,0.29187040068408826
337,50.0%,0.15,lr,0.3163427425345333,0.3327345545011827
338,50.0%,0.15,rf,0.3375500564543152,0.42357654493906194
339,50.0%,0.15,svc,0.06705368043347833,0.42415247246452314
340,50.0%,0.2,cnn,0.43960739051640163,0.38985646953839215
341,50.0%,0.2,dt,0.28315709254460997,0.25327856324863884
342,50.0%,0.2,lr,0.38889048940682736,0.32285226574375786
343,50.0%,0.2,rf,0.4119479181990547,0.46373858078822167
344,50.0%,0.2,svc,0.2719438764432022,0.29239177372107883
345,50.0%,0.25,cnn,0.5636212560788926,0.30153697550123953
346,50.0%,0.25,dt,0.35043915927508273,0.29698994647587124
347,50.0%,0.25,lr,0.46853833664770256,0.3462242210025152
348,50.0%,0.25,rf,0.502298714951291,0.3947949919078021
349,50.0%,0.25,svc,0.34001845062889224,0.2740248392874599
350,50.0%,0.3,cnn,0.6130589561533568,0.2927824969071533
351,50.0%,0.3,dt,0.4562093186482178,0.28899337736999636
352,50.0%,0.3,lr,0.5201041710393253,0.33921990630367777
353,50.0%,0.3,rf,0.5924132694146244,0.37540518335476986
354,50.0%,0.3,svc,0.44196565074960076,0.2991723661734018
355,50.0%,0.35,cnn,0.6890322854988413,0.2300868092396622
356,50.0%,0.35,dt,0.5173861619525274,0.2689455616414394
357,50.0%,0.35,lr,0.6007113342533286,0.3067221380825479
358,50.0%,0.35,rf,0.6764102959303905,0.31633282665928303
359,50.0%,0.35,svc,0.5464079571143392,0.3077884806495787
360,50.0%,0.4,cnn,0.7496279497247903,0.2027322935361628
361,50.0%,0.4,dt,0.5522339202826781,0.2784278139092565
362,50.0%,0.4,lr,0.667606552765231,0.2700250308452807
363,50.0%,0.4,rf,0.7469763561858646,0.2532397061184465
364,50.0%,0.4,svc,0.6739269523205823,0.2888388262422433
365,50.0%,0.45,cnn,0.7894212427877804,0.15988591791922147
366,50.0%,0.45,dt,0.6131463149785847,0.1934751429631297
367,50.0%,0.45,lr,0.730332541229899,0.21440291569788655
368,50.0%,0.45,rf,0.8069883830142928,0.18594233653397915
369,50.0%,0.45,svc,0.7503128054545563,0.23318117794580354
370,50.0%,0.5,cnn,0.8203381103310153,0.12406060072845551
371,50.0%,0.5,dt,0.723817533312719,0.18579335123710353
372,50.0%,0.5,lr,0.7833945136405863,0.1647034250105467
373,50.0%,0.5,rf,0.8493467503768862,0.140591536626705
374,50.0%,0.5,svc,0.805688566937602,0.18463888139906015
375,50.0%,0.55,cnn,0.8240396644156052,0.11164276124857914
376,50.0%,0.55,dt,0.7610333769866667,0.16055675819694373
377,50.0%,0.55,lr,0.8053054014593164,0.13999008591163056
378,50.0%,0.55,rf,0.8609403690334838,0.12084092845065765
379,50.0%,0.55,svc,0.831270945985683,0.15949275326356516
380,50.0%,0.6,cnn,0.8310561634049292,0.1038062892428633
381,50.0%,0.6,dt,0.7575628719835239,0.15538457583201876
382,50.0%,0.6,lr,0.8103183294124936,0.12764635566854937
383,50.0%,0.6,rf,0.8627927156251968,0.1143519727023688
384,50.0%,0.6,svc,0.8408773648113741,0.14802958708756173
385,50.0%,0.65,cnn,0.8204162125686733,0.0943946065858977
386,50.0%,0.65,dt,0.7764473693418137,0.14663301975214352
387,50.0%,0.65,lr,0.810111821840529,0.10849102071858278
388,50.0%,0.65,rf,0.8637974125861264,0.10462861557311443
389,50.0%,0.65,svc,0.8471959878980215,0.13583839272855291
390,60.0%,0.05,cnn,0.30887283324178605,0.5031756714295019
391,60.0%,0.05,dt,0.2976698275552131,0.2923565455826329
392,60.0%,0.05,lr,0.21257980860328166,0.4634208482401836
393,60.0%,0.05,rf,0.2034937237968796,0.37002093047518747
394,60.0%,0.05,svc,-0.0400748855641874,0.4252265323821976
395,60.0%,0.1,cnn,0.32200804326608234,0.453384174134791
396,60.0%,0.1,dt,0.24106189649111265,0.2932420847008723
397,60.0%,0.1,lr,0.3059738340116639,0.3112724310981436
398,60.0%,0.1,rf,0.26908252943534006,0.4092098911173636
399,60.0%,0.1,svc,0.06480163435254538,0.36632282410820066
