,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
150,30.0%,0.6,lstm,0.14135000000000003,0.01577161898846283
151,30.0%,0.6,mnb,0.1670666666666666,0.07347304611724716
152,30.0%,0.6,sgd,0.3663,0.09982412119529925
153,30.0%,0.65,lstm,0.14836666666666665,0.016255998008869458
154,30.0%,0.65,mnb,0.27953333333333336,0.09871012362340109
155,30.0%,0.65,sgd,0.38458333333333333,0.07533786923075197
156,40.0%,0.05,lstm,0.0165,0.017703983576663154
157,40.0%,0.05,mnb,0.0009333333333333334,0.0013501809159320562
158,40.0%,0.05,sgd,0.0008000000000000003,0.006947587028403557
159,40.0%,0.1,lstm,0.03364999999999999,0.019388563105871066
160,40.0%,0.1,mnb,0.0015666666666666672,0.0016543220995910689
161,40.0%,0.1,sgd,0.0027833333333333334,0.005504987289492253
162,40.0%,0.15,lstm,0.045116666666666666,0.017850762242651662
163,40.0%,0.15,mnb,0.003033333333333334,0.002442205522901779
164,40.0%,0.15,sgd,0.004283333333333334,0.0049422236607263815
165,40.0%,0.2,lstm,0.06078333333333332,0.018049110845103994
166,40.0%,0.2,mnb,0.006816666666666669,0.0027838305702176202
167,40.0%,0.2,sgd,0.00805,0.00845918191202256
168,40.0%,0.25,lstm,0.08648333333333331,0.017111945481473448
169,40.0%,0.25,mnb,0.006750000000000002,0.002615438250347217
170,40.0%,0.25,sgd,0.012283333333333337,0.009374105321294008
171,40.0%,0.3,lstm,0.09765,0.011052500107246762
172,40.0%,0.3,mnb,0.013600000000000003,0.005135072104385817
173,40.0%,0.3,sgd,0.01803333333333334,0.006975243579152327
174,40.0%,0.35,lstm,0.10893333333333333,0.015436037845503493
175,40.0%,0.35,mnb,0.015483333333333337,0.008204796046271933
176,40.0%,0.35,sgd,0.036166666666666666,0.014902749881246364
177,40.0%,0.4,lstm,0.12438333333333333,0.015170685964836204
178,40.0%,0.4,mnb,0.029083333333333333,0.014932655336620438
179,40.0%,0.4,sgd,0.08381666666666665,0.03713476931332715
180,40.0%,0.45,lstm,0.13005,0.016503578504320687
181,40.0%,0.45,mnb,0.038716666666666656,0.01842257017774727
182,40.0%,0.45,sgd,0.1671,0.07483699527686134
183,40.0%,0.5,lstm,0.15216666666666664,0.016864231344789322
184,40.0%,0.5,mnb,0.06728333333333333,0.030187541199610163
185,40.0%,0.5,sgd,0.24020000000000002,0.07883194696358176
186,40.0%,0.55,lstm,0.16658333333333333,0.020714430807486868
187,40.0%,0.55,mnb,0.12318333333333334,0.05968819604516823
188,40.0%,0.55,sgd,0.32995,0.1098292051794277
189,40.0%,0.6,lstm,0.1863833333333333,0.014878637389717935
190,40.0%,0.6,mnb,0.17989999999999998,0.08203409720017815
191,40.0%,0.6,sgd,0.41168333333333335,0.09408071400200169
192,40.0%,0.65,lstm,0.19581666666666664,0.02046337490844749
193,40.0%,0.65,mnb,0.3041,0.11282672097299132
194,40.0%,0.65,sgd,0.4812,0.0582177245199077
195,50.0%,0.05,lstm,0.022783333333333333,0.015368285376134152
196,50.0%,0.05,mnb,0.0015666666666666672,0.0010232919606747673
197,50.0%,0.05,sgd,-0.0014166666666666668,0.00625063215193876
198,50.0%,0.1,lstm,0.04686666666666668,0.015376276696829803
199,50.0%,0.1,mnb,0.002283333333333334,0.0023181567191871743
200,50.0%,0.1,sgd,0.0031000000000000003,0.005490430546524279
201,50.0%,0.15,lstm,0.05865,0.018686224872884304
202,50.0%,0.15,mnb,0.0039000000000000007,0.0026794235097922815
203,50.0%,0.15,sgd,0.003583333333333334,0.006507400738222297
204,50.0%,0.2,lstm,0.07786666666666667,0.015088208077452595
205,50.0%,0.2,mnb,0.0073166666666666675,0.003174476153725951
206,50.0%,0.2,sgd,0.0088,0.008032906460733657
207,50.0%,0.25,lstm,0.10589999999999997,0.013884623099698805
208,50.0%,0.25,mnb,0.008366666666666668,0.0021573184717388733
209,50.0%,0.25,sgd,0.015233333333333337,0.008834428472560158
210,50.0%,0.3,lstm,0.12004999999999999,0.018325293430402276
211,50.0%,0.3,mnb,0.015333333333333338,0.00592384621871538
212,50.0%,0.3,sgd,0.020316666666666667,0.009024376311750964
213,50.0%,0.35,lstm,0.14005,0.018935621421561258
214,50.0%,0.35,mnb,0.017666666666666667,0.008444885550084321
215,50.0%,0.35,sgd,0.04001666666666668,0.012981740049494275
216,50.0%,0.4,lstm,0.1531833333333333,0.01779358821624226
217,50.0%,0.4,mnb,0.03230000000000001,0.015811170211223326
218,50.0%,0.4,sgd,0.08821666666666665,0.036567529249353165
219,50.0%,0.45,lstm,0.16875,0.013641183839818454
220,50.0%,0.45,mnb,0.041633333333333335,0.019244763431651477
221,50.0%,0.45,sgd,0.17435,0.07473137526016674
222,50.0%,0.5,lstm,0.18995,0.018805882241909093
223,50.0%,0.5,mnb,0.07285,0.032681627760921705
224,50.0%,0.5,sgd,0.25301666666666667,0.07981416814564699
225,50.0%,0.55,lstm,0.20656666666666668,0.017530630008808785
226,50.0%,0.55,mnb,0.1306,0.0625322537465322
227,50.0%,0.55,sgd,0.34356666666666663,0.11147233562276966
228,50.0%,0.6,lstm,0.2260666666666667,0.018790007126557776
229,50.0%,0.6,mnb,0.18823333333333336,0.0852887320581796
230,50.0%,0.6,sgd,0.43715000000000004,0.0960911160628645
231,50.0%,0.65,lstm,0.24758333333333332,0.021917589902323585
232,50.0%,0.65,mnb,0.3142500000000001,0.11706642308447417
233,50.0%,0.65,sgd,0.5148499999999999,0.05556809274245862
234,60.0%,0.05,lstm,0.022933333333333337,0.019465147161606265
235,60.0%,0.05,mnb,0.001666666666666667,0.0010366834828809423
236,60.0%,0.05,sgd,0.0014,0.006169166936439244
237,60.0%,0.1,lstm,0.05791666666666665,0.014882924335681119
238,60.0%,0.1,mnb,0.003066666666666667,0.0019988502442280596
239,60.0%,0.1,sgd,0.0033833333333333332,0.005307254848128975
240,60.0%,0.15,lstm,0.07163333333333334,0.0197588624085032
241,60.0%,0.15,mnb,0.00395,0.0025708914326786902
242,60.0%,0.15,sgd,0.005600000000000002,0.005935573643950399
243,60.0%,0.2,lstm,0.09541666666666666,0.0173821565927848
