,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
264,40.0%,0.05,svc,0.0029866666666666336,0.0015997269882019303
265,40.0%,0.1,cnn,0.01785666666666663,0.016843819767731315
266,40.0%,0.1,dt,0.005843333333333312,0.005563531707240553
267,40.0%,0.1,lr,0.006289999999999971,0.005443525100267416
268,40.0%,0.1,rf,0.006296666666666635,0.007158476207210253
269,40.0%,0.1,svc,0.006259999999999952,0.0019791325163417885
270,40.0%,0.15,cnn,0.02861999999999994,0.030352860457146927
271,40.0%,0.15,dt,0.0101733333333333,0.009633667018839958
272,40.0%,0.15,lr,0.010313333333333296,0.00904478258191001
273,40.0%,0.15,rf,0.01081999999999998,0.013347049267082613
274,40.0%,0.15,svc,0.013483333333333288,0.00624654847224382
275,40.0%,0.2,cnn,0.036223333333333295,0.035161270654272284
276,40.0%,0.2,dt,0.016403333333333287,0.016571859890485596
277,40.0%,0.2,lr,0.017186666666666652,0.018387134432631905
278,40.0%,0.2,rf,0.01724999999999995,0.02061144225240286
279,40.0%,0.2,svc,0.023816666666666635,0.003411045277485702
280,40.0%,0.25,cnn,0.04726999999999993,0.04549740538263391
281,40.0%,0.25,dt,0.03020999999999995,0.03224496057926913
282,40.0%,0.25,lr,0.02255333333333327,0.02094977134816104
283,40.0%,0.25,rf,0.021693333333333304,0.024880555118174205
284,40.0%,0.25,svc,0.03698999999999996,0.025049528180565894
285,40.0%,0.3,cnn,0.05832999999999995,0.051692353533120385
286,40.0%,0.3,dt,0.0454033333333333,0.04956482681772696
287,40.0%,0.3,lr,0.03589999999999994,0.035002108310884614
288,40.0%,0.3,rf,0.03822333333333328,0.044976972524518204
289,40.0%,0.3,svc,0.058339999999999954,0.033462903804578656
290,40.0%,0.35,cnn,0.08073999999999995,0.0725732571624866
291,40.0%,0.35,dt,0.05678666666666662,0.05986395918409844
292,40.0%,0.35,lr,0.05307999999999999,0.05024262786889649
293,40.0%,0.35,rf,0.05391666666666661,0.06200049545593657
294,40.0%,0.35,svc,0.11340333333333329,0.0370299085394061
295,40.0%,0.4,cnn,0.10123999999999996,0.08178848919938089
296,40.0%,0.4,dt,0.07372999999999995,0.08339751567456703
297,40.0%,0.4,lr,0.07154999999999997,0.06374749082283078
298,40.0%,0.4,rf,0.07062666666666662,0.07444502221998012
299,40.0%,0.4,svc,0.2025166666666666,0.05613221512387199
300,40.0%,0.45,cnn,0.11911999999999998,0.08604444481056649
301,40.0%,0.45,dt,0.09105333333333328,0.10156491293862208
302,40.0%,0.45,lr,0.08603666666666662,0.06406148169361688
303,40.0%,0.45,rf,0.08937333333333326,0.0807042875130467
304,40.0%,0.45,svc,0.2702966666666667,0.08719649029370521
305,40.0%,0.5,cnn,0.16052666666666662,0.10187864969839275
306,40.0%,0.5,dt,0.1053033333333333,0.1123781653946676
307,40.0%,0.5,lr,0.1303666666666666,0.09288666558596105
308,40.0%,0.5,rf,0.13135666666666665,0.10381679381564876
309,40.0%,0.5,svc,0.43562666666666666,0.10049061350344543
310,40.0%,0.55,cnn,0.19355999999999993,0.10575022817290133
311,40.0%,0.55,dt,0.17693999999999996,0.11598834543117716
312,40.0%,0.55,lr,0.16936666666666664,0.10678421791352083
313,40.0%,0.55,rf,0.17845666666666662,0.12153986910314327
314,40.0%,0.55,svc,0.48110666666666657,0.0684338388434448
315,40.0%,0.6,cnn,0.24362666666666663,0.11789240253176897
316,40.0%,0.6,dt,0.2224833333333333,0.13440823066785892
317,40.0%,0.6,lr,0.22644666666666666,0.14088721273644275
318,40.0%,0.6,rf,0.24270666666666665,0.15893838522789444
319,40.0%,0.6,svc,0.4962566666666666,0.06845861414442095
320,40.0%,0.65,cnn,0.28633666666666663,0.12730258139521392
321,40.0%,0.65,dt,0.2647,0.14929783470725846
322,40.0%,0.65,lr,0.2795533333333333,0.1671370070524083
323,40.0%,0.65,rf,0.30116666666666664,0.18860331904296646
324,40.0%,0.65,svc,0.48901000000000006,0.06597623056828877
325,50.0%,0.05,cnn,0.009113333333333286,0.010893108651434325
326,50.0%,0.05,dt,0.005959999999999974,0.00734525885086471
327,50.0%,0.05,lr,0.003683333333333313,0.0038766394381388384
328,50.0%,0.05,rf,0.0031233333333332944,0.0030266270441479414
329,50.0%,0.05,svc,0.003593333333333294,0.0018078246278490253
330,50.0%,0.1,cnn,0.020196666666666623,0.018876029012066278
331,50.0%,0.1,dt,0.006363333333333304,0.004615228416160248
332,50.0%,0.1,lr,0.007273333333333283,0.005936441133653484
333,50.0%,0.1,rf,0.006686666666666631,0.008161504819550115
334,50.0%,0.1,svc,0.0072433333333332935,0.0023492747719291974
335,50.0%,0.15,cnn,0.033989999999999965,0.034873647297953614
336,50.0%,0.15,dt,0.012439999999999963,0.011002557696375362
337,50.0%,0.15,lr,0.011746666666666622,0.009819885993204812
338,50.0%,0.15,rf,0.012983333333333288,0.014365597874744047
339,50.0%,0.15,svc,0.01576666666666662,0.006155420002103718
340,50.0%,0.2,cnn,0.0441933333333333,0.04363474519813023
341,50.0%,0.2,dt,0.018506666666666623,0.01617663136437407
342,50.0%,0.2,lr,0.02006333333333331,0.019607941447691332
343,50.0%,0.2,rf,0.018949999999999956,0.02166928145141619
344,50.0%,0.2,svc,0.026429999999999954,0.0033075827197933936
345,50.0%,0.25,cnn,0.05420999999999995,0.05223158213584761
346,50.0%,0.25,dt,0.032279999999999955,0.032753040395853535
347,50.0%,0.25,lr,0.025363333333333276,0.02233054940617467
348,50.0%,0.25,rf,0.02329666666666664,0.026010985521815418
349,50.0%,0.25,svc,0.0447133333333333,0.021456800759912333
350,50.0%,0.3,cnn,0.06960666666666662,0.06340454641228123
351,50.0%,0.3,dt,0.04935333333333328,0.051502539162937254
352,50.0%,0.3,lr,0.040523333333333265,0.039145085421335844
353,50.0%,0.3,rf,0.04137666666666661,0.047895868969753716
354,50.0%,0.3,svc,0.06831666666666662,0.03689886535339287
355,50.0%,0.35,cnn,0.0945533333333333,0.08415373343218183
356,50.0%,0.35,dt,0.06090666666666662,0.06474998033994289
357,50.0%,0.35,lr,0.05906666666666663,0.05394187378212252
358,50.0%,0.35,rf,0.057766666666666626,0.06535746446213729
359,50.0%,0.35,svc,0.12062999999999996,0.03954980404502657
360,50.0%,0.4,cnn,0.12104333333333331,0.10026629950333242
361,50.0%,0.4,dt,0.08057666666666666,0.08833614359008331
362,50.0%,0.4,lr,0.07987666666666662,0.06985552422226761
363,50.0%,0.4,rf,0.07606666666666663,0.08014309759395394
364,50.0%,0.4,svc,0.21058666666666662,0.05826922493660477
365,50.0%,0.45,cnn,0.13650999999999996,0.10299894994442987
366,50.0%,0.45,dt,0.0972566666666666,0.10798545139343389
367,50.0%,0.45,lr,0.0952133333333333,0.06994463196150141
368,50.0%,0.45,rf,0.09750999999999994,0.0868041169768919
369,50.0%,0.45,svc,0.28923,0.08588376326817222
370,50.0%,0.5,cnn,0.18402999999999997,0.12055654604003653
371,50.0%,0.5,dt,0.11649666666666662,0.12082983327471492
372,50.0%,0.5,lr,0.14157999999999998,0.10042329514060248
373,50.0%,0.5,rf,0.14082666666666663,0.11276931880776711
374,50.0%,0.5,svc,0.47451666666666664,0.11709352902799491
375,50.0%,0.55,cnn,0.22180666666666668,0.12569976526830012
376,50.0%,0.55,dt,0.18850666666666657,0.12436986533038803
377,50.0%,0.55,lr,0.1831433333333333,0.11385196887226834
378,50.0%,0.55,rf,0.18965333333333328,0.12911808210485773
379,50.0%,0.55,svc,0.53495,0.06776105457592423
380,50.0%,0.6,cnn,0.27429333333333333,0.13542252635244315
381,50.0%,0.6,dt,0.23950333333333332,0.14653320556561006
382,50.0%,0.6,lr,0.24331999999999995,0.15087411377335927
383,50.0%,0.6,rf,0.25807333333333327,0.16926990268214545
384,50.0%,0.6,svc,0.5478266666666667,0.06538410612169701
385,50.0%,0.65,cnn,0.32407,0.14872658587094503
386,50.0%,0.65,dt,0.2838666666666666,0.16008744880335818
387,50.0%,0.65,lr,0.3007999999999999,0.17767361591723027
388,50.0%,0.65,rf,0.3186266666666666,0.19882828830396607
389,50.0%,0.65,svc,0.5699299999999999,0.0489930969803312
390,60.0%,0.05,cnn,0.011096666666666614,0.01080052627495956
391,60.0%,0.05,dt,0.007133333333333301,0.0056156390819612385
392,60.0%,0.05,lr,0.004586666666666644,0.004255360378866056
393,60.0%,0.05,rf,0.0032933333333332935,0.0032505631695969373
394,60.0%,0.05,svc,0.004339999999999964,0.001857992984656958
395,60.0%,0.1,cnn,0.023689999999999954,0.022051559488210096
396,60.0%,0.1,dt,0.006809999999999974,0.005027877457152035
397,60.0%,0.1,lr,0.00823999999999995,0.0064886425975407514
398,60.0%,0.1,rf,0.007099999999999969,0.008641000899879825
399,60.0%,0.1,svc,0.00815333333333328,0.002303929676449135
400,60.0%,0.15,cnn,0.03768666666666661,0.039351411781477434
401,60.0%,0.15,dt,0.013503333333333289,0.01104968351343721
402,60.0%,0.15,lr,0.013199999999999972,0.010613231819534157
403,60.0%,0.15,rf,0.012876666666666621,0.01451588151274162
404,60.0%,0.15,svc,0.017639999999999944,0.005880218152181198
405,60.0%,0.2,cnn,0.04857999999999995,0.046773816725113236
406,60.0%,0.2,dt,0.020743333333333294,0.01837897380598057
407,60.0%,0.2,lr,0.022059999999999975,0.021070646357694733
408,60.0%,0.2,rf,0.020406666666666615,0.021918783211466484
409,60.0%,0.2,svc,0.02877999999999996,0.0037069738564513444
410,60.0%,0.25,cnn,0.06178999999999994,0.05914081005357556
411,60.0%,0.25,dt,0.03436999999999996,0.033038234381311656
412,60.0%,0.25,lr,0.027819999999999945,0.0232968904244381
413,60.0%,0.25,rf,0.025146666666666616,0.026668097088072305
414,60.0%,0.25,svc,0.04818999999999994,0.020997214100923013
415,60.0%,0.3,cnn,0.0787333333333333,0.0715979354996783
416,60.0%,0.3,dt,0.05068666666666663,0.05361654874057613
417,60.0%,0.3,lr,0.04382999999999992,0.04042183730404253
418,60.0%,0.3,rf,0.04242999999999997,0.048578788829466826
419,60.0%,0.3,svc,0.08060666666666666,0.035455566493884975
420,60.0%,0.35,cnn,0.10671666666666661,0.09673364098828585
421,60.0%,0.35,dt,0.06455333333333328,0.06478845008462401
