,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
126,30.0%,0.2,lstm,0.052450000000000004,0.018014863144571684
127,30.0%,0.2,mnb,0.001941666666666667,0.003560511325127129
128,30.0%,0.2,sgd,0.0068249999999999995,0.008581455969392481
129,30.0%,0.25,lstm,0.06125833333333333,0.019898268930803428
130,30.0%,0.25,mnb,0.005841666666666667,0.004066662648664039
131,30.0%,0.25,sgd,0.009741666666666668,0.011054103639957116
132,30.0%,0.3,lstm,0.08348333333333334,0.019658420623248456
133,30.0%,0.3,mnb,0.016183333333333334,0.009506285698795027
134,30.0%,0.3,sgd,0.025008333333333337,0.024067655282813172
135,30.0%,0.35,lstm,0.09480833333333334,0.021297135891919356
136,30.0%,0.35,mnb,0.03795833333333334,0.0243725964842434
137,30.0%,0.35,sgd,0.044541666666666674,0.03534271485040727
138,30.0%,0.4,lstm,0.11064166666666667,0.023386700175485196
139,30.0%,0.4,mnb,0.10811666666666667,0.06029551641473757
140,30.0%,0.4,sgd,0.10920833333333334,0.08327880639056695
141,30.0%,0.45,lstm,0.12601666666666667,0.021175530246784684
142,30.0%,0.45,mnb,0.24410833333333332,0.08873582697420201
143,30.0%,0.45,sgd,0.22815,0.10478546711088832
144,30.0%,0.5,lstm,0.1357,0.025168207235760454
145,30.0%,0.5,mnb,0.466175,0.09677311788166079
146,30.0%,0.5,sgd,0.4463333333333333,0.09580111868729245
147,30.0%,0.55,lstm,0.155125,0.025150158293435726
148,30.0%,0.55,mnb,0.6382249999999999,0.07920152601237603
149,30.0%,0.55,sgd,0.5999583333333334,0.09447781259549319
150,30.0%,0.6,lstm,0.16219166666666668,0.025895489965633477
151,30.0%,0.6,mnb,0.6658000000000001,0.0832302264098524
152,30.0%,0.6,sgd,0.6178666666666666,0.11042849569320604
153,30.0%,0.65,lstm,0.18069999999999997,0.02655882957834228
154,30.0%,0.65,mnb,0.5746833333333333,0.09456339151069827
155,30.0%,0.65,sgd,0.5180333333333332,0.10902485518274742
156,40.0%,0.05,lstm,0.016166666666666666,0.017592651891065885
157,40.0%,0.05,mnb,0.0009166666666666668,0.0025423582426899773
158,40.0%,0.05,sgd,0.00245,0.005292852323113287
159,40.0%,0.1,lstm,0.033416666666666664,0.014316696096336122
160,40.0%,0.1,mnb,0.0007583333333333333,0.0024460423645758307
161,40.0%,0.1,sgd,0.0017000000000000001,0.006321365664597027
162,40.0%,0.15,lstm,0.05555833333333334,0.019177979245874215
163,40.0%,0.15,mnb,0.00185,0.004011852188602326
164,40.0%,0.15,sgd,0.0036666666666666666,0.007006999301818594
165,40.0%,0.2,lstm,0.06878333333333335,0.019546188922666234
166,40.0%,0.2,mnb,0.002608333333333333,0.0035769942626711145
167,40.0%,0.2,sgd,0.00865,0.007968055971589718
168,40.0%,0.25,lstm,0.08419166666666666,0.019961852625046843
169,40.0%,0.25,mnb,0.007416666666666667,0.004450631780916022
170,40.0%,0.25,sgd,0.012991666666666669,0.011020603952805574
171,40.0%,0.3,lstm,0.10995833333333334,0.020668002238402497
172,40.0%,0.3,mnb,0.018866666666666667,0.010329799703032093
173,40.0%,0.3,sgd,0.02829166666666667,0.026445566683262423
174,40.0%,0.35,lstm,0.12615833333333334,0.0241573955944088
175,40.0%,0.35,mnb,0.041650000000000006,0.02487300517739306
176,40.0%,0.35,sgd,0.05206666666666668,0.03921192867151597
177,40.0%,0.4,lstm,0.14880000000000002,0.025064823521247073
178,40.0%,0.4,mnb,0.11532499999999998,0.061936829094806974
179,40.0%,0.4,sgd,0.118725,0.08928567714284942
180,40.0%,0.45,lstm,0.16360833333333333,0.02614095464599412
181,40.0%,0.45,mnb,0.2569,0.0916802444744273
182,40.0%,0.45,sgd,0.24703333333333333,0.1125141958052542
183,40.0%,0.5,lstm,0.18231666666666665,0.02865617194386212
184,40.0%,0.5,mnb,0.4882333333333333,0.09954609027800064
185,40.0%,0.5,sgd,0.47912499999999997,0.10321581880749113
186,40.0%,0.55,lstm,0.20675833333333332,0.02759094841018825
187,40.0%,0.55,mnb,0.6910416666666668,0.07475083494470126
188,40.0%,0.55,sgd,0.668975,0.08019445510914143
189,40.0%,0.6,lstm,0.21770000000000003,0.027787791285703422
190,40.0%,0.6,mnb,0.764075,0.08074153830837856
191,40.0%,0.6,sgd,0.7268166666666666,0.08821059439537539
192,40.0%,0.65,lstm,0.23825,0.03303047993962572
193,40.0%,0.65,mnb,0.7670583333333334,0.08729706799905992
194,40.0%,0.65,sgd,0.7292916666666666,0.10602325698830876
195,50.0%,0.05,lstm,0.0223,0.01605484298251706
196,50.0%,0.05,mnb,0.0008083333333333332,0.002760148069750385
197,50.0%,0.05,sgd,0.0030916666666666666,0.005362483798856384
198,50.0%,0.1,lstm,0.044000000000000004,0.012074697483901248
199,50.0%,0.1,mnb,0.0008666666666666667,0.0024867154041829076
200,50.0%,0.1,sgd,0.0024583333333333336,0.0069595419453895
201,50.0%,0.15,lstm,0.06714166666666667,0.018418704337379084
202,50.0%,0.15,mnb,0.0023583333333333334,0.003535642842273983
203,50.0%,0.15,sgd,0.004966666666666667,0.007238939210710264
204,50.0%,0.2,lstm,0.08679166666666666,0.022498887305197758
205,50.0%,0.2,mnb,0.003033333333333333,0.004041659808247379
206,50.0%,0.2,sgd,0.009675,0.008520033238582737
207,50.0%,0.25,lstm,0.10731666666666667,0.0178560929663353
208,50.0%,0.25,mnb,0.008416666666666666,0.004505054739654438
209,50.0%,0.25,sgd,0.014050000000000002,0.0120912844505398
210,50.0%,0.3,lstm,0.13490833333333332,0.020349879042166622
211,50.0%,0.3,mnb,0.020366666666666665,0.010221030661685485
212,50.0%,0.3,sgd,0.03134166666666667,0.02640966713548815
213,50.0%,0.35,lstm,0.15835833333333332,0.023360454925830033
214,50.0%,0.35,mnb,0.043825,0.02593452081199688
215,50.0%,0.35,sgd,0.055408333333333344,0.041088650998741226
216,50.0%,0.4,lstm,0.18224166666666666,0.02616302986377268
217,50.0%,0.4,mnb,0.11949166666666668,0.06342997142132262
218,50.0%,0.4,sgd,0.1255416666666667,0.09305260966392133
219,50.0%,0.45,lstm,0.204,0.029978703925880958
220,50.0%,0.45,mnb,0.263425,0.0931320254244686
221,50.0%,0.45,sgd,0.25732499999999997,0.11439201083492302
222,50.0%,0.5,lstm,0.22739166666666666,0.03130019889681841
223,50.0%,0.5,mnb,0.49753333333333327,0.10073761018826373
224,50.0%,0.5,sgd,0.4917166666666667,0.10415883018142005
225,50.0%,0.55,lstm,0.25589999999999996,0.03085079299744868
226,50.0%,0.55,mnb,0.7100583333333333,0.07241468998021032
227,50.0%,0.55,sgd,0.6921083333333334,0.08088873942191277
228,50.0%,0.6,lstm,0.272525,0.0301642457669519
229,50.0%,0.6,mnb,0.7920166666666667,0.080368268261904
230,50.0%,0.6,sgd,0.7677333333333334,0.0757693019292506
231,50.0%,0.65,lstm,0.2989666666666667,0.03849324579700698
232,50.0%,0.65,mnb,0.8221666666666666,0.08034665789050388
233,50.0%,0.65,sgd,0.7937416666666667,0.08059229229294085
234,60.0%,0.05,lstm,0.027333333333333334,0.015595912701640737
235,60.0%,0.05,mnb,0.000991666666666667,0.0028857687129126915
236,60.0%,0.05,sgd,0.003691666666666667,0.00561180603253344
237,60.0%,0.1,lstm,0.05229166666666667,0.013680874114127746
238,60.0%,0.1,mnb,0.0012750000000000003,0.002463046211230204
239,60.0%,0.1,sgd,0.002716666666666667,0.006439352926066608
240,60.0%,0.15,lstm,0.08262499999999999,0.017861776709691867
