,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
251,30.0%,0.6,dt,0.39835624999999997,0.2517910458660154
252,30.0%,0.6,lr,0.44556250000000003,0.15430637813562126
253,30.0%,0.6,rf,0.47208749999999994,0.19707956243816255
254,30.0%,0.6,svc,0.492425,0.20470752414176568
255,30.0%,0.65,cnn,0.40634375,0.1506419824581807
256,30.0%,0.65,dt,0.40179687500000005,0.2434577326770211
257,30.0%,0.65,lr,0.42290312499999994,0.1281742806361247
258,30.0%,0.65,rf,0.44744375,0.16775342217825462
259,30.0%,0.65,svc,0.450484375,0.15694713709518315
260,40.0%,0.05,cnn,0.004132075471698097,0.007805072358787792
261,40.0%,0.05,dt,0.008646874999999981,0.009468849437487695
262,40.0%,0.05,lr,0.0019406249999999888,0.00279677030433677
263,40.0%,0.05,rf,0.000744186046511621,0.0034107574987260704
264,40.0%,0.05,svc,0.0020656249999999885,0.003966099217511406
265,40.0%,0.1,cnn,0.006237341772151879,0.008012072770904495
266,40.0%,0.1,dt,0.008781249999999982,0.013014467940955673
267,40.0%,0.1,lr,0.003412499999999972,0.003211393827369252
268,40.0%,0.1,rf,0.002460992907801391,0.0038149475384830307
269,40.0%,0.1,svc,0.0026624999999999913,0.004785509442988354
270,40.0%,0.15,cnn,0.010646874999999983,0.010885134528106133
271,40.0%,0.15,dt,0.01252187499999997,0.012851516181384083
272,40.0%,0.15,lr,0.006743749999999976,0.004463333321590789
273,40.0%,0.15,rf,0.0038959731543623923,0.004417897861289666
274,40.0%,0.15,svc,0.0031437499999999834,0.004849102718009922
275,40.0%,0.2,cnn,0.023249999999999982,0.02170659117938445
276,40.0%,0.2,dt,0.022146874999999976,0.024499364442725522
277,40.0%,0.2,lr,0.014818749999999981,0.011609674925974128
278,40.0%,0.2,rf,0.00932666666666664,0.009039805089858945
279,40.0%,0.2,svc,0.007306249999999984,0.006811936319072151
280,40.0%,0.25,cnn,0.05376874999999996,0.05366137970070885
