,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
364,50.0%,0.4,svc,0.5013353662001099,0.07052780691625092
365,50.0%,0.45,cnn,0.4293706898824038,0.16811027563781758
366,50.0%,0.45,dt,0.23969203099302358,0.2154437624151219
367,50.0%,0.45,lr,0.29958808966327616,0.1643577500050105
368,50.0%,0.45,rf,0.34477240472870607,0.22219087028191392
369,50.0%,0.45,svc,0.5757435544203593,0.06498842037726613
370,50.0%,0.5,cnn,0.4993595770559167,0.1584756003417026
371,50.0%,0.5,dt,0.27396733058419065,0.20659902821364012
372,50.0%,0.5,lr,0.3733114097366942,0.19705870764999897
373,50.0%,0.5,rf,0.4148882428999482,0.2444385591717805
374,50.0%,0.5,svc,0.6798407015793284,0.05873897373579079
375,50.0%,0.55,cnn,0.5456758545446513,0.14587756739205177
376,50.0%,0.55,dt,0.4015276944617524,0.20905782178211577
377,50.0%,0.55,lr,0.4280391072768204,0.212887134044363
378,50.0%,0.55,rf,0.4846504076570672,0.2545784786168935
379,50.0%,0.55,svc,0.6973988070986789,0.032340352804092025
380,50.0%,0.6,cnn,0.5910659154748573,0.11839302428246636
381,50.0%,0.6,dt,0.4592088217154019,0.19659740633109418
382,50.0%,0.6,lr,0.4794026855357228,0.228103145835946
383,50.0%,0.6,rf,0.5408143498570294,0.2627084721361401
384,50.0%,0.6,svc,0.6761373861979478,0.04141638508946869
385,50.0%,0.65,cnn,0.6282104597493965,0.10254690984392198
386,50.0%,0.65,dt,0.4956422968883034,0.1947209468815767
387,50.0%,0.65,lr,0.5277123489630344,0.21393387141886844
388,50.0%,0.65,rf,0.5876193145791873,0.24753186216244946
389,50.0%,0.65,svc,0.6700672373904367,0.03680918704457144
390,60.0%,0.05,cnn,0.09753289453353851,0.08469226203592826
391,60.0%,0.05,dt,0.03468923683381685,0.026507695703204947
392,60.0%,0.05,lr,0.026827465280356788,0.0242501896021127
393,60.0%,0.05,rf,0.02538881907935403,0.02475316769359163
394,60.0%,0.05,svc,0.02585873568310971,0.010722397548618453
395,60.0%,0.1,cnn,0.1736325189849242,0.13293688641052745
396,60.0%,0.1,dt,0.032749837089741905,0.024191892994613672
397,60.0%,0.1,lr,0.04701628713671411,0.03535021620965954
398,60.0%,0.1,rf,0.05043750059057869,0.06036139780329593
399,60.0%,0.1,svc,0.04715098619330284,0.012706965414611774
400,60.0%,0.15,cnn,0.21917937278224373,0.17900791482529815
401,60.0%,0.15,dt,0.06137531319185461,0.04917294140960385
402,60.0%,0.15,lr,0.07112589150261263,0.05278743611165662
403,60.0%,0.15,rf,0.08513175905534728,0.09110235843511776
404,60.0%,0.15,svc,0.0957332172118646,0.02968739316918363
405,60.0%,0.2,cnn,0.25818960202888813,0.1770010835451177
406,60.0%,0.2,dt,0.08774597906926491,0.07151836517231178
407,60.0%,0.2,lr,0.10565107582840479,0.09039167848628944
408,60.0%,0.2,rf,0.12196482317599729,0.11844065999680053
409,60.0%,0.2,svc,0.14576775134156617,0.01555923257622308
410,60.0%,0.25,cnn,0.29332027438276514,0.18715487562553557
411,60.0%,0.25,dt,0.12971478492314162,0.11221765590883787
412,60.0%,0.25,lr,0.1297778890433524,0.09282855707261718
413,60.0%,0.25,rf,0.14306582344177096,0.13470658685196735
