,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
156,40.0%,0.05,NAR,0.0453225358,0.06728734456213879
157,40.0%,0.05,NCAR,0.0296007456,0.04773625088307506
158,40.0%,0.05,NNAR,0.018127767299999997,0.08104732078435462
159,40.0%,0.1,NAR,0.054453090499999995,0.0918910439091476
160,40.0%,0.1,NCAR,0.057716964866666665,0.07330105494966749
161,40.0%,0.1,NNAR,0.05338179166666667,0.053536624746839935
162,40.0%,0.15,NAR,0.05362225513333333,0.08200653142070394
163,40.0%,0.15,NCAR,0.0812030681,0.07504922719373544
164,40.0%,0.15,NNAR,0.075065984,0.07116935178788489
165,40.0%,0.2,NAR,0.08370216080000001,0.07242315394226646
166,40.0%,0.2,NCAR,0.09414806413333335,0.07917601150252944
167,40.0%,0.2,NNAR,0.1081492366,0.08559281697043557
168,40.0%,0.25,NAR,0.11138724046666666,0.09035595490689197
169,40.0%,0.25,NCAR,0.12305040579999998,0.09616954181795473
170,40.0%,0.25,NNAR,0.11916076986666667,0.09170363799896693
171,40.0%,0.3,NAR,0.14512122539999997,0.08108314162687925
172,40.0%,0.3,NCAR,0.13204689113333332,0.07937422714119172
173,40.0%,0.3,NNAR,0.1589012936,0.06698519462138078
174,40.0%,0.35,NAR,0.19294686136666667,0.052490054465465966
175,40.0%,0.35,NCAR,0.15346507709999999,0.08975563592532843
176,40.0%,0.35,NNAR,0.17859258006666667,0.07721852896874074
177,40.0%,0.4,NAR,0.25719529566666666,0.06159488997203395
178,40.0%,0.4,NCAR,0.21356541199999998,0.11370463343669325
179,40.0%,0.4,NNAR,0.28033664583333334,0.09334378973815828
180,40.0%,0.45,NAR,0.33968150726666674,0.13152331179842477
181,40.0%,0.45,NCAR,0.26683948566666665,0.14960595145668315
182,40.0%,0.45,NNAR,0.3318254554666667,0.12333920741644228
183,40.0%,0.5,NAR,0.4066675327666666,0.11512007904278514
184,40.0%,0.5,NCAR,0.3389675982333333,0.1818668766464227
185,40.0%,0.5,NNAR,0.3877064239666666,0.13147439262463576
186,40.0%,0.55,NAR,0.493782279,0.16866366144441688
187,40.0%,0.55,NCAR,0.3824271944666666,0.18409505797123593
188,40.0%,0.55,NNAR,0.4631352025333333,0.13425915492849175
189,40.0%,0.6,NAR,0.5419047617999999,0.18267677304045363
190,40.0%,0.6,NCAR,0.44677114770000004,0.16278562086277645
191,40.0%,0.6,NNAR,0.48716260879999995,0.1435960911450074
192,40.0%,0.65,NAR,0.5637020753,0.20479940927355558
193,40.0%,0.65,NCAR,0.5102585293333334,0.15792817617227126
194,40.0%,0.65,NNAR,0.5500823233333334,0.19350324804922875
195,50.0%,0.05,NAR,0.039259545166666666,0.06252553353002979
196,50.0%,0.05,NCAR,0.038665748633333316,0.07785417383118928
197,50.0%,0.05,NNAR,0.04014301506666666,0.0826532125156956
198,50.0%,0.1,NAR,0.08044765196666664,0.10052395322872117
199,50.0%,0.1,NCAR,0.07242345023333335,0.08841278815741067
200,50.0%,0.1,NNAR,0.07635891349999999,0.08704358350743877
201,50.0%,0.15,NAR,0.08600198756666666,0.1163250279469763
202,50.0%,0.15,NCAR,0.08455137136666667,0.09239264770349362
203,50.0%,0.15,NNAR,0.08978064003333336,0.08151913321122561
204,50.0%,0.2,NAR,0.11304799440000002,0.08420173174373874
205,50.0%,0.2,NCAR,0.10255275086666667,0.10620823415285897
206,50.0%,0.2,NNAR,0.1319177388666667,0.10176164150700356
207,50.0%,0.25,NAR,0.14478441673333334,0.10410320966922477
208,50.0%,0.25,NCAR,0.14587099293333336,0.11229529983843717
209,50.0%,0.25,NNAR,0.14510298963333337,0.10788186457084005
210,50.0%,0.3,NAR,0.1742986907,0.10430987523964916
211,50.0%,0.3,NCAR,0.1563066617,0.11098220881090688
212,50.0%,0.3,NNAR,0.18551473996666668,0.08060715226441367
213,50.0%,0.35,NAR,0.22649472610000002,0.07345206408946818
214,50.0%,0.35,NCAR,0.1906752514333333,0.10936293928558638
215,50.0%,0.35,NNAR,0.21212583216666667,0.09443259561322341
216,50.0%,0.4,NAR,0.29023618046666666,0.05890844444314983
217,50.0%,0.4,NCAR,0.24669859766666669,0.12449523530588581
218,50.0%,0.4,NNAR,0.3123301385000001,0.09277135469833642
219,50.0%,0.45,NAR,0.3760694400666667,0.11069190206290096
220,50.0%,0.45,NCAR,0.30545924306666666,0.15595029347425046
221,50.0%,0.45,NNAR,0.37072293396666667,0.12185243750438439
222,50.0%,0.5,NAR,0.44562231203333336,0.09922581004420894
223,50.0%,0.5,NCAR,0.37862677946666673,0.17730539915947538
224,50.0%,0.5,NNAR,0.43300312673333335,0.13021795979976528
225,50.0%,0.55,NAR,0.5371115759666666,0.1514321421144693
226,50.0%,0.55,NCAR,0.4216680141666667,0.17645212254221698
227,50.0%,0.55,NNAR,0.5034923038000001,0.11370339128846639
228,50.0%,0.6,NAR,0.5801089142666668,0.1696661356373777
229,50.0%,0.6,NCAR,0.4956713886333334,0.166242786360878
230,50.0%,0.6,NNAR,0.5297948682666667,0.12679779806431668
231,50.0%,0.65,NAR,0.6143746630333334,0.193933163498673
232,50.0%,0.65,NCAR,0.5583905389,0.14433307482157617
233,50.0%,0.65,NNAR,0.598784003,0.16121934113205644
234,60.0%,0.05,NAR,0.051267958533333324,0.07177162178479347
235,60.0%,0.05,NCAR,0.04601839636666665,0.0664863560692102
236,60.0%,0.05,NNAR,0.0389437356,0.09025027579351112
237,60.0%,0.1,NAR,0.08844294006666666,0.11284695598242885
238,60.0%,0.1,NCAR,0.09143420123333335,0.10492331061848424
239,60.0%,0.1,NNAR,0.10309583473333332,0.11064737013908835
240,60.0%,0.15,NAR,0.09955985336666666,0.13455699927670192
241,60.0%,0.15,NCAR,0.10375055556666665,0.11071258791144747
242,60.0%,0.15,NNAR,0.11750921236666666,0.09861710252563924
243,60.0%,0.2,NAR,0.13725623676666668,0.09922948429424527
244,60.0%,0.2,NCAR,0.14649197633333336,0.1263289289075451
245,60.0%,0.2,NNAR,0.1502099851333333,0.12049681596080074
246,60.0%,0.25,NAR,0.1609754958,0.12812817477294705
247,60.0%,0.25,NCAR,0.16728765496666662,0.14418919294887064
248,60.0%,0.25,NNAR,0.17630419693333335,0.12708821900571832
249,60.0%,0.3,NAR,0.19710665766666666,0.1296372414442949
250,60.0%,0.3,NCAR,0.18148621576666668,0.12517245555322135
251,60.0%,0.3,NNAR,0.21896874743333333,0.10807471069534541
