,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
125,40.0%,0.55,NNAR,0.6865887052967716,0.13955856009422474
126,40.0%,0.6,NCAR,0.8133968381423551,0.12869655829750912
127,40.0%,0.6,NNAR,0.6617562291474955,0.13004275393314146
128,40.0%,0.65,NCAR,0.7904013011489792,0.12197887976398614
129,40.0%,0.65,NNAR,0.6367799850733671,0.10321277057353152
130,50.0%,0.05,NCAR,0.031700569403080595,0.49216113237049947
131,50.0%,0.05,NNAR,0.25155915030930626,0.3743273958985885
132,50.0%,0.1,NCAR,0.1376785550307265,0.3724162739375626
133,50.0%,0.1,NNAR,0.2779514821993686,0.35869858644529357
134,50.0%,0.15,NCAR,0.19289374251038044,0.40425591150993223
135,50.0%,0.15,NNAR,0.3425504699259509,0.39489479088896284
136,50.0%,0.2,NCAR,0.264160956799612,0.3269660133744049
137,50.0%,0.2,NNAR,0.45036307600944026,0.36058299505063757
138,50.0%,0.25,NCAR,0.37021157221606593,0.31447269908234904
139,50.0%,0.25,NNAR,0.5190943591030025,0.34072268490230034
140,50.0%,0.3,NCAR,0.46992218524814644,0.3166228489062778
141,50.0%,0.3,NNAR,0.5795783611539036,0.32931630754471075
142,50.0%,0.35,NCAR,0.5452866449655352,0.2926699257447066
143,50.0%,0.35,NNAR,0.6666925689342356,0.28518461074552187
144,50.0%,0.4,NCAR,0.6353632985261298,0.2880236659522809
145,50.0%,0.4,NNAR,0.7207853939855288,0.2426322285392672
146,50.0%,0.45,NCAR,0.7244135328553298,0.218445959554998
147,50.0%,0.45,NNAR,0.7516669821307156,0.2002017914962885
148,50.0%,0.5,NCAR,0.8115986555079802,0.16650746473585756
149,50.0%,0.5,NNAR,0.7814355343315436,0.16597968167110372
150,50.0%,0.55,NCAR,0.8453204132287756,0.13386381111113357
151,50.0%,0.55,NNAR,0.7877154899235265,0.14699754685532426
152,50.0%,0.6,NCAR,0.8551756791941311,0.12176626763184596
153,50.0%,0.6,NNAR,0.7858672989008758,0.14026784682971913
154,50.0%,0.65,NCAR,0.8530843974862771,0.11672377384491256
155,50.0%,0.65,NNAR,0.7941031242077884,0.12245987784066871
156,60.0%,0.05,NCAR,0.11805352709257537,0.47526014520178067
157,60.0%,0.05,NNAR,0.2741064493405773,0.3805944983120092
158,60.0%,0.1,NCAR,0.1534692652115438,0.3812749541258409
159,60.0%,0.1,NNAR,0.3213675858702508,0.3626829259909295
160,60.0%,0.15,NCAR,0.22338713227232138,0.38570079985311695
161,60.0%,0.15,NNAR,0.3805053610387161,0.4007738446748186
162,60.0%,0.2,NCAR,0.3027800871911514,0.3505259763187602
