,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
229,50.0%,0.6,NCAR,0.16401199999999996,0.2290934722700206
230,50.0%,0.6,NNAR,0.410082,0.035666108591221664
231,50.0%,0.65,NAR,0.447118,0.08710888492371523
232,50.0%,0.65,NCAR,0.17270799999999994,0.20915426670673648
233,50.0%,0.65,NNAR,0.45854999999999996,0.03862362737802775
234,60.0%,0.05,NAR,0.002467999999999972,0.0020275087759944765
235,60.0%,0.05,NCAR,0.003141999999999958,0.002452411557830283
236,60.0%,0.05,NNAR,0.01265999999999996,0.0073723144539664855
237,60.0%,0.1,NAR,0.004207999999999962,0.004228660230727766
238,60.0%,0.1,NCAR,0.006181999999999963,0.0037771974277449488
239,60.0%,0.1,NNAR,0.022005999999999953,0.016636453826412864
240,60.0%,0.15,NAR,0.012305999999999954,0.00794720872574844
241,60.0%,0.15,NCAR,0.005465999999999964,0.004430580650203664
242,60.0%,0.15,NNAR,0.039171999999999936,0.027329740397670832
243,60.0%,0.2,NAR,0.014797999999999957,0.008339076687499636
244,60.0%,0.2,NCAR,0.011867999999999955,0.011080382370179638
245,60.0%,0.2,NNAR,0.05767599999999996,0.029401156162189763
246,60.0%,0.25,NAR,0.020297999999999945,0.009061051207205018
247,60.0%,0.25,NCAR,0.014057999999999942,0.013116216633446939
248,60.0%,0.25,NNAR,0.08403399999999996,0.03131525422120625
249,60.0%,0.3,NAR,0.025679999999999967,0.012003502890100584
250,60.0%,0.3,NCAR,0.026393999999999945,0.03251546200483325
251,60.0%,0.3,NNAR,0.12569799999999995,0.027568811792920454
252,60.0%,0.35,NAR,0.04475799999999995,0.028563499542640928
253,60.0%,0.35,NCAR,0.03789799999999996,0.046279873926062566
254,60.0%,0.35,NNAR,0.17475399999999996,0.03684261180885468
255,60.0%,0.4,NAR,0.06963399999999997,0.0418958115387421
256,60.0%,0.4,NCAR,0.06689599999999996,0.0996654013616131
257,60.0%,0.4,NNAR,0.22904799999999995,0.0437208503007479
258,60.0%,0.45,NAR,0.10612599999999997,0.061374793104102834
259,60.0%,0.45,NCAR,0.09660399999999995,0.1565470587916826
260,60.0%,0.45,NNAR,0.25102199999999997,0.04010850227946739
261,60.0%,0.5,NAR,0.18332999999999994,0.12688760613959402
262,60.0%,0.5,NCAR,0.15162599999999996,0.2471369444461999
263,60.0%,0.5,NNAR,0.33032799999999995,0.054153139016183745
264,60.0%,0.55,NAR,0.29778799999999994,0.12413169379365464
265,60.0%,0.55,NCAR,0.16055999999999998,0.24785459035326277
266,60.0%,0.55,NNAR,0.37335999999999997,0.07411382586045245
267,60.0%,0.6,NAR,0.377868,0.11117576163674439
268,60.0%,0.6,NCAR,0.18057399999999993,0.25394805736767573
269,60.0%,0.6,NNAR,0.442124,0.05341002947929904
270,60.0%,0.65,NAR,0.4659700000000001,0.09951553104097546
271,60.0%,0.65,NCAR,0.19379199999999996,0.241541432487603
272,60.0%,0.65,NNAR,0.488586,0.04991292830765292
273,70.0%,0.05,NAR,0.0028859999999999637,0.0021273735843398223
274,70.0%,0.05,NCAR,0.002875999999999968,0.0027878424105609594
275,70.0%,0.05,NNAR,0.014549999999999954,0.00865538053726686
276,70.0%,0.1,NAR,0.005225999999999953,0.004803901900475035
277,70.0%,0.1,NCAR,0.007173999999999962,0.003926768937143379
278,70.0%,0.1,NNAR,0.02409599999999994,0.017389815926546884
279,70.0%,0.15,NAR,0.013475999999999943,0.008726515072245186
280,70.0%,0.15,NCAR,0.007175999999999958,0.00476751593214594
281,70.0%,0.15,NNAR,0.04191999999999995,0.030185149747949287
282,70.0%,0.2,NAR,0.01641399999999996,0.00945580504132735
283,70.0%,0.2,NCAR,0.013597999999999968,0.011650058947034895
284,70.0%,0.2,NNAR,0.06213399999999997,0.03309213242708044
285,70.0%,0.25,NAR,0.023053999999999967,0.01033905237831942
286,70.0%,0.25,NCAR,0.015475999999999948,0.014038482969382152
287,70.0%,0.25,NNAR,0.08929399999999994,0.03473491103915425
288,70.0%,0.3,NAR,0.029623999999999956,0.014083534458975245
289,70.0%,0.3,NCAR,0.029507999999999947,0.03359246052437411
290,70.0%,0.3,NNAR,0.13260399999999994,0.03223494719102489
291,70.0%,0.35,NAR,0.05057399999999996,0.032056110309319576
292,70.0%,0.35,NCAR,0.04055599999999995,0.04746674522274322
293,70.0%,0.35,NNAR,0.18218799999999993,0.0420308469812254
294,70.0%,0.4,NAR,0.07600199999999996,0.048712767006070946
295,70.0%,0.4,NCAR,0.06995199999999996,0.10271206085410788
296,70.0%,0.4,NNAR,0.23695599999999994,0.0479486807292283
297,70.0%,0.45,NAR,0.11261999999999997,0.06552146244412077
298,70.0%,0.45,NCAR,0.10206399999999999,0.16304668263527278
299,70.0%,0.45,NNAR,0.26160399999999995,0.045440640624975395
300,70.0%,0.5,NAR,0.18919799999999998,0.12733767015622804
301,70.0%,0.5,NCAR,0.15842599999999996,0.25434046345601485
302,70.0%,0.5,NNAR,0.34367600000000004,0.06258504600680156
303,70.0%,0.55,NAR,0.30406599999999995,0.12399348503293328
304,70.0%,0.55,NCAR,0.167202,0.25446413843805266
305,70.0%,0.55,NNAR,0.38595,0.08148085852592896
306,70.0%,0.6,NAR,0.3851679999999999,0.11095602629613488
307,70.0%,0.6,NCAR,0.18502599999999997,0.25694381646657344
