,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
177,40.0%,0.4,NAR,0.24584723073925716,0.11721508015889053
178,40.0%,0.4,NCAR,0.17160809830115004,0.1889683856235399
179,40.0%,0.4,NNAR,0.4886173614533574,0.04785502159229087
180,40.0%,0.45,NAR,0.33135242519661096,0.12852658233558092
181,40.0%,0.45,NCAR,0.2025841746048307,0.2253554727863028
182,40.0%,0.45,NNAR,0.5013214782626485,0.04728800633737679
183,40.0%,0.5,NAR,0.43468966912408147,0.166882400717671
184,40.0%,0.5,NCAR,0.23623529158300333,0.2317441407875805
185,40.0%,0.5,NNAR,0.5534407390750417,0.03905029670244455
186,40.0%,0.55,NAR,0.570016864454256,0.0605461800063432
187,40.0%,0.55,NCAR,0.25702248683031526,0.21344532098222155
188,40.0%,0.55,NNAR,0.5726988035162506,0.04498464584731004
189,40.0%,0.6,NAR,0.6194007967057704,0.05187751727249505
190,40.0%,0.6,NCAR,0.2997233784150844,0.19329241488837676
191,40.0%,0.6,NNAR,0.5925874193228741,0.05261454100725342
192,40.0%,0.65,NAR,0.6519002395430349,0.04207139253103656
193,40.0%,0.65,NCAR,0.32526888402154774,0.14727939373175322
194,40.0%,0.65,NNAR,0.6056941596852803,0.06660615094233002
195,50.0%,0.05,NAR,0.011782201915111694,0.017590878915598927
196,50.0%,0.05,NCAR,0.012244456484967723,0.01779415119874138
197,50.0%,0.05,NNAR,0.08009454714958127,0.060152274431384066
198,50.0%,0.1,NAR,0.03215891888041012,0.03726594863042811
199,50.0%,0.1,NCAR,0.03095756927037253,0.022601293527701016
200,50.0%,0.1,NNAR,0.12255758143354824,0.09449429323091045
201,50.0%,0.15,NAR,0.07120731572944677,0.047323464386202115
202,50.0%,0.15,NCAR,0.0341829137886729,0.03178742335734736
203,50.0%,0.15,NNAR,0.1885328155555454,0.12148677631192877
204,50.0%,0.2,NAR,0.08199337353411842,0.05649802077150416
205,50.0%,0.2,NCAR,0.06262151648401044,0.051191787173091
206,50.0%,0.2,NNAR,0.24702256008474524,0.11844528860272062
207,50.0%,0.25,NAR,0.10477981182397056,0.0560075634685565
208,50.0%,0.25,NCAR,0.06875744788729922,0.05984928039942506
209,50.0%,0.25,NNAR,0.31968180467670465,0.0846094555351523
210,50.0%,0.3,NAR,0.12043932780185809,0.0705523470302785
211,50.0%,0.3,NCAR,0.1155844832244517,0.1110468831433494
212,50.0%,0.3,NNAR,0.40485742740161124,0.06940057742849236
213,50.0%,0.35,NAR,0.19592912322436404,0.10310864085112556
214,50.0%,0.35,NCAR,0.13951446995272676,0.12100452296134366
215,50.0%,0.35,NNAR,0.4787254411784434,0.06225699537742864
216,50.0%,0.4,NAR,0.26950630822730004,0.12442474311724638
217,50.0%,0.4,NCAR,0.18624757789967558,0.18959122423290525
218,50.0%,0.4,NNAR,0.5401519689487277,0.05630145283706034
219,50.0%,0.45,NAR,0.3542069989821263,0.12978512202071288
220,50.0%,0.45,NCAR,0.2182715780401239,0.23060730857042525
221,50.0%,0.45,NNAR,0.5610214847904113,0.052860071078760576
222,50.0%,0.5,NAR,0.4646073788413487,0.17353814380793392
223,50.0%,0.5,NCAR,0.2686067817687743,0.2554803404047366
224,50.0%,0.5,NNAR,0.611606196503524,0.04296302030522576
225,50.0%,0.55,NAR,0.607022420680347,0.07650551575186479
226,50.0%,0.55,NCAR,0.28868211544242056,0.23218496845800227
227,50.0%,0.55,NNAR,0.6386705865006145,0.04478939520214258
228,50.0%,0.6,NAR,0.6569856236167644,0.06172324134526942
229,50.0%,0.6,NCAR,0.33098549300269425,0.20966407577193674
230,50.0%,0.6,NNAR,0.6600063786491168,0.04479110269935988
231,50.0%,0.65,NAR,0.6968684263527791,0.04457852531424263
232,50.0%,0.65,NCAR,0.3698805767200733,0.17883220270717495
233,50.0%,0.65,NNAR,0.6788019914693625,0.04852123954927669
234,60.0%,0.05,NAR,0.018302640171026736,0.017760983016877917
235,60.0%,0.05,NCAR,0.02271560806954168,0.02260081823606319
236,60.0%,0.05,NNAR,0.08516004260553713,0.06442322376832069
237,60.0%,0.1,NAR,0.03289859633646903,0.038681402544760386
238,60.0%,0.1,NCAR,0.04033441917385178,0.02805182666397902
239,60.0%,0.1,NNAR,0.13735926248683625,0.11350560022082218
240,60.0%,0.15,NAR,0.0761783996407817,0.047237532876532595
241,60.0%,0.15,NCAR,0.037837030626565134,0.03288149390168873
242,60.0%,0.15,NNAR,0.20551190197900693,0.13619970032887366
243,60.0%,0.2,NAR,0.09325658252102162,0.05961717938367901
244,60.0%,0.2,NCAR,0.07079629821076278,0.05402096795796374
245,60.0%,0.2,NNAR,0.26753865813468836,0.1258147718841873
246,60.0%,0.25,NAR,0.12058787463924821,0.06291964262706724
247,60.0%,0.25,NCAR,0.08163541483750818,0.06265572738661289
248,60.0%,0.25,NNAR,0.34259967370455446,0.10454331852851852
249,60.0%,0.3,NAR,0.1469214302368071,0.07890140091828417
250,60.0%,0.3,NCAR,0.12430625747805893,0.1156267053285071
251,60.0%,0.3,NNAR,0.4377961708566131,0.08088913699553474
252,60.0%,0.35,NAR,0.21424129263112562,0.11046068867782789
253,60.0%,0.35,NCAR,0.16041840012905045,0.137237220141331
254,60.0%,0.35,NNAR,0.5145648872121783,0.08053295386469136
255,60.0%,0.4,NAR,0.2896481792545468,0.12702734310434588
256,60.0%,0.4,NCAR,0.20686280338570015,0.20175104348587
257,60.0%,0.4,NNAR,0.5756019955189186,0.06853925312672535
258,60.0%,0.45,NAR,0.37682866578490554,0.13411412465462363
