,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
154,50.0%,0.65,NCAR,0.7564837913166667,0.21546032211306398
155,50.0%,0.65,NNAR,0.745017110011111,0.20877419267434577
156,60.0%,0.05,NCAR,0.11799230831666667,0.16148322204806292
157,60.0%,0.05,NNAR,0.13330590424444444,0.17026836579317986
158,60.0%,0.1,NCAR,0.1363720285111111,0.20298937713070955
159,60.0%,0.1,NNAR,0.15788002503333332,0.188909760283561
160,60.0%,0.15,NCAR,0.19025376198888888,0.21023369057084562
161,60.0%,0.15,NNAR,0.18087043638888886,0.2260429153236595
162,60.0%,0.2,NCAR,0.1941611919722222,0.212419029134442
163,60.0%,0.2,NNAR,0.2436213982944444,0.18709074278290305
164,60.0%,0.25,NCAR,0.2660152846722222,0.17642893162581597
165,60.0%,0.25,NNAR,0.2982807800555555,0.16622170380579646
166,60.0%,0.3,NCAR,0.3517867268888889,0.15267005165385994
167,60.0%,0.3,NNAR,0.4106277041,0.1466331724730592
168,60.0%,0.35,NCAR,0.4283720275,0.13553388813850872
169,60.0%,0.35,NNAR,0.5297981710722222,0.14455082382394116
170,60.0%,0.4,NCAR,0.5463401061277777,0.10050682200337212
171,60.0%,0.4,NNAR,0.6558585973111111,0.16124156800582906
172,60.0%,0.45,NCAR,0.6682091187222222,0.1387410872454124
173,60.0%,0.45,NNAR,0.7433193870666666,0.16383598600249974
174,60.0%,0.5,NCAR,0.7596666109222222,0.17375557449603482
175,60.0%,0.5,NNAR,0.7703033881833333,0.17900330929302588
176,60.0%,0.55,NCAR,0.7865805049388889,0.18361715257545308
177,60.0%,0.55,NNAR,0.7906655643666667,0.18015641428609208
178,60.0%,0.6,NCAR,0.7915550249833334,0.18772576459953477
179,60.0%,0.6,NNAR,0.7933803370666667,0.18000534066852608
180,60.0%,0.65,NCAR,0.7957740640611112,0.17976861576974063
181,60.0%,0.65,NNAR,0.7943129394333334,0.1779515558158044
182,70.0%,0.05,NCAR,0.14420410928333333,0.17536884574788164
183,70.0%,0.05,NNAR,0.13991746338888889,0.1930509294338739
184,70.0%,0.1,NCAR,0.1702219904888889,0.22988725030082435
185,70.0%,0.1,NNAR,0.19010722219444445,0.2308892812131748
186,70.0%,0.15,NCAR,0.21679415789444445,0.23321532700692077
187,70.0%,0.15,NNAR,0.22080685067222222,0.24827588383368862
188,70.0%,0.2,NCAR,0.23788827927222223,0.24130712893090114
189,70.0%,0.2,NNAR,0.2777695475888889,0.21477418695470757
190,70.0%,0.25,NCAR,0.30354523383333337,0.2049029237504532
191,70.0%,0.25,NNAR,0.33275575900555554,0.19808164931605662
192,70.0%,0.3,NCAR,0.3985967874333333,0.17332872913853656
193,70.0%,0.3,NNAR,0.4489531200666666,0.16825728359470452
194,70.0%,0.35,NCAR,0.47073615902222216,0.15310245845498938
195,70.0%,0.35,NNAR,0.566782163288889,0.14709192945679964
196,70.0%,0.4,NCAR,0.5855998689055556,0.10386841705022389
197,70.0%,0.4,NNAR,0.6949875029499999,0.13258087785217731
198,70.0%,0.45,NCAR,0.702867720911111,0.117889906250439
199,70.0%,0.45,NNAR,0.7756897125722222,0.1301920138054856
200,70.0%,0.5,NCAR,0.7944582703777778,0.13692662918867918
201,70.0%,0.5,NNAR,0.8062083617444445,0.14329999683609046
202,70.0%,0.55,NCAR,0.819694540911111,0.14586262986018772
203,70.0%,0.55,NNAR,0.8230995206277778,0.14565606320225616
204,70.0%,0.6,NCAR,0.8257439652833333,0.14754558886649466
205,70.0%,0.6,NNAR,0.8309089076888889,0.14224830665220686
206,70.0%,0.65,NCAR,0.8299563568111112,0.14404911930640404
207,70.0%,0.65,NNAR,0.8310853168166668,0.14152583984703324
208,80.0%,0.05,NCAR,0.15383782697222223,0.18812642563361034
209,80.0%,0.05,NNAR,0.14849762160000002,0.19370578649857026
210,80.0%,0.1,NCAR,0.20322937236111108,0.25523165047456065
211,80.0%,0.1,NNAR,0.21995580958333333,0.2479599614154867
212,80.0%,0.15,NCAR,0.2385939860111111,0.2718315965852063
213,80.0%,0.15,NNAR,0.24176179770000003,0.27291328687086414
214,80.0%,0.2,NCAR,0.26893313035,0.2770476591860965
