,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
173,40.0%,0.3,NNAR,0.04543333333333333,0.037992906173919226
174,40.0%,0.35,NAR,0.05596666666666668,0.039266975975988404
175,40.0%,0.35,NCAR,0.049933333333333337,0.04592455081779344
176,40.0%,0.35,NNAR,0.05468333333333333,0.04290154794517272
177,40.0%,0.4,NAR,0.07760000000000002,0.0378211307476982
178,40.0%,0.4,NCAR,0.07136666666666666,0.053738821344910696
179,40.0%,0.4,NNAR,0.08831666666666665,0.045760147420588836
180,40.0%,0.45,NAR,0.11956666666666665,0.07744227364383381
181,40.0%,0.45,NCAR,0.09704999999999998,0.06586157767464353
182,40.0%,0.45,NNAR,0.11925000000000001,0.06757100352400709
183,40.0%,0.5,NAR,0.15435000000000001,0.05109172785463821
184,40.0%,0.5,NCAR,0.14726666666666668,0.11666484070820679
185,40.0%,0.5,NNAR,0.15803333333333333,0.08120641359643585
186,40.0%,0.55,NAR,0.2435333333333333,0.12573987470947323
187,40.0%,0.55,NCAR,0.1806,0.1352283126853402
188,40.0%,0.55,NNAR,0.19558333333333333,0.06569444464695066
189,40.0%,0.6,NAR,0.3098,0.12382569785095444
190,40.0%,0.6,NCAR,0.23516666666666663,0.15627955352692402
191,40.0%,0.6,NNAR,0.23299999999999998,0.09018391170843323
192,40.0%,0.65,NAR,0.3751999999999999,0.1435653521739406
193,40.0%,0.65,NCAR,0.28258333333333335,0.14536832430981544
194,40.0%,0.65,NNAR,0.3233333333333333,0.115236139366485
195,50.0%,0.05,NAR,0.007583333333333334,0.012415287665458742
196,50.0%,0.05,NCAR,0.007566666666666667,0.015132594037337108
197,50.0%,0.05,NNAR,0.007783333333333333,0.015917721274564166
198,50.0%,0.1,NAR,0.0191,0.025916111351555172
199,50.0%,0.1,NCAR,0.016283333333333334,0.022152949260076868
200,50.0%,0.1,NNAR,0.016866666666666665,0.021239980734671003
201,50.0%,0.15,NAR,0.023583333333333335,0.033949781202213376
202,50.0%,0.15,NCAR,0.021650000000000003,0.02730957581205689
203,50.0%,0.15,NNAR,0.02089999999999999,0.023992599433704694
204,50.0%,0.2,NAR,0.0293,0.030338492677307396
205,50.0%,0.2,NCAR,0.029249999999999998,0.035802078055658285
206,50.0%,0.2,NNAR,0.035433333333333324,0.03789271000158695
207,50.0%,0.25,NAR,0.04195,0.04434394372208663
208,50.0%,0.25,NCAR,0.04313333333333333,0.04663004310034712
209,50.0%,0.25,NNAR,0.04441666666666666,0.047568296333713206
210,50.0%,0.3,NAR,0.05393333333333334,0.05450636364830183
211,50.0%,0.3,NCAR,0.04858333333333333,0.051011676035531535
212,50.0%,0.3,NNAR,0.05318333333333334,0.04562411705963486
213,50.0%,0.35,NAR,0.06788333333333334,0.05231876490246631
214,50.0%,0.35,NCAR,0.06275,0.058946607927911315
